orbital_period,transit_duration,planet_radius,stellar_temp,stellar_radius,transit_depth,disposition
1.9316462,3.166,11.2154,7070.0,2.01,1286.0,CANDIDATE
1.8675574,1.408,23.7529,8924.0,5.73,1500.0,FALSE_POSITIVE
3.5730141,3.37,11.3113,9219.0,2.15,755.0,FALSE_POSITIVE
4.5505945,2.654,7.10841,5613.0,1.09,3731.0,FALSE_POSITIVE
2.5047918,4.3797563,8.6950898,6616.0,1.53429,2270.5402194,FALSE_POSITIVE
6.9989206,3.953,14.7752,6596.0,2.7,2840.0,CANDIDATE
2.0483755,2.767,3.19621,6858.5,1.57,483.0,FALSE_POSITIVE
1.4303699,1.6165994,13.1874503,5600.0,0.890774,18960.7122944,CONFIRMED
0.6808702,2.4634563,5.9115908,9438.0,1.0,1507.8006889,FALSE_POSITIVE
2.4704981,2.191,1.44656,5413.7,0.94,250.0,CANDIDATE
0.884182,1.621,24.8132,8928.0,2.72,1890.0,CANDIDATE
1.3730466,2.5708515,42.1479417,4897.0,6.7996101,1301.5065338,FALSE_POSITIVE
12.6889415,7.9201001,14.0608342,7601.0,1.53641,3232.8527885,FALSE_POSITIVE
1.10422,2.37,21.0448,6995.2,1.61,14177.7,FALSE_POSITIVE
4.95912,2.509,22.9123,5889.0,2.0,7440.0,FALSE_POSITIVE
5.2341008,3.7078139,24.2931408,7645.0,1.56203,20796.9416293,CANDIDATE
4.4119378,3.65,15.4706,6280.0,1.21,15062.0,CONFIRMED
1.90879,1.909,3.34688,6022.6,1.22,618.482,FALSE_POSITIVE
3.09574,4.475,3.4262,6084.0,1.41,380.0,FALSE_POSITIVE
1.3214483,3.435,21.8839,5050.8,2.99,2180.0,FALSE_POSITIVE
18.0157,2.524,21.644,4709.0,7.61,610.0,FALSE_POSITIVE
14.2628757,6.9350494,2.4765813,5690.0,0.853898,913.2067174,FALSE_POSITIVE
3.2834565,1.537,2.87648,4272.0,0.68,1558.0,CANDIDATE
11.02875,2.715,2.76586,4272.0,0.68,1694.0,CANDIDATE
5.0113292,1.024,2.52314,4272.0,0.68,1210.0,CANDIDATE
1.01606,2.843,1.20704,4634.0,0.68,240.0,FALSE_POSITIVE
3.547854,3.494333,14.581841,6351.0,1.4,10424.3718,CONFIRMED
12.1246519,4.612,17.6729,4807.6,1.07,7279.0,FALSE_POSITIVE
5.652623,3.434,8.94354,6415.4,1.92,1250.0,FALSE_POSITIVE
29.0160175,5.345,6.77406,6113.1,2.01,1389.0,FALSE_POSITIVE
3.6404389,2.5339234,3.7025342,9810.0,1.60776,476.3077321,FALSE_POSITIVE
6.0744477,2.4954821,30.9493217,5964.0,2.4303801,5982.5212406,CANDIDATE
3.7795212,2.952,5.98375,5771.0,1.18,2761.0,CANDIDATE
1.2025238,1.991,6.31106,9158.0,1.74,390.0,FALSE_POSITIVE
3.2235985,2.159,5.51341,8904.0,2.17,680.0,FALSE_POSITIVE
4.0872956,5.586113,13.6237732,6036.0,2.2186699,3572.1712499,CONFIRMED
8.30792,3.228,43.1068,9081.0,3.05,8350.0,FALSE_POSITIVE
0.758082,1.8184632,10.1273702,9917.0,3.5086601,583.93181,CANDIDATE
1.4415577,2.349,3.61078,6902.0,1.52,507.0,FALSE_POSITIVE
3.7039994,4.277,17.57,7013.8,1.9,7590.0,FALSE_POSITIVE
1.3042553,1.706,9.36472,6762.0,1.75,914.0,FALSE_POSITIVE
0.62627,0.666,5.72162,5622.0,0.93,1880.0,FALSE_POSITIVE
2.1805277,2.969175,16.808853,6599.0,1.2714601,16340.1353205,CONFIRMED
2.1846669,2.86528,13.7028527,5630.0,1.23824,11708.0228549,CONFIRMED
3.7354838,4.142,21.2315,6650.0,1.57,17030.0,CONFIRMED
21.701669,8.2676424,2.3751494,5625.0,1.56486,211.6567325,FALSE_POSITIVE
9.139804,3.0912936,3.0629855,5958.2,1.58,358.4157801,CONFIRMED
5.742625,2.860293,13.088532,5664.0,3.86959,1105.760867,FALSE_POSITIVE
15.5077855,4.565,2.43432,6122.0,1.17,513.0,CONFIRMED
17.4713078,4.4284819,3.5766828,5783.54,0.974669,1199.7541483,CONFIRMED
5.3079507,3.2158594,3.0486928,6124.3,1.36963,391.3830934,CANDIDATE
51.1701501,6.6641048,2.9366826,5599.0,0.943356,851.4547808,CANDIDATE
11.1296441,7.0473822,12.8402271,5785.0,3.4475601,951.6169809,CANDIDATE
