source,object_id,orbital_period,transit_duration,planet_radius,stellar_temp,stellar_radius,stellar_mass,transit_depth,equilibrium_temp,insolation,disposition
TESS,1001.01,1.9316462,3.166,11.2154,7070.0,2.01,,1286.0,4045.0,44464.5,CANDIDATE
TESS,1002.01,1.8675574,1.408,23.7529,8924.0,5.73,,1500.0,2037.0,2860.61,FALSE_POSITIVE
TESS,1004.01,3.5730141,3.37,11.3113,9219.0,2.15,,755.0,4260.0,54679.3,FALSE_POSITIVE
TESS,1005.01,4.5505945,2.654,7.10841,5613.0,1.09,,3731.0,1257.0,414.775,FALSE_POSITIVE
TESS,1006.01,2.5047918,4.3797563,8.6950898,6616.0,1.53429,,2270.5402194,1649.8220699,1750.932635,FALSE_POSITIVE
TESS,1007.01,6.9989206,3.953,14.7752,6596.0,2.7,,2840.0,1282.0,448.744,CANDIDATE
TESS,1008.01,2.0483755,2.767,3.19621,6858.5,1.57,,483.0,,5644.4,FALSE_POSITIVE
TESS,101.01,1.4303699,1.6165994,13.1874503,5600.0,0.890774,,18960.7122944,1525.9048089,1281.2408254,CONFIRMED
TESS,1010.01,0.6808702,2.4634563,5.9115908,9438.0,1.0,,1507.8006889,4382.0266062,87140.6995884,FALSE_POSITIVE
TESS,1011.01,2.4704981,2.191,1.44656,5413.7,0.94,,250.0,1364.0,575.597,CANDIDATE
TESS,1012.01,0.884182,1.621,24.8132,8928.0,2.72,,1890.0,5098.0,112144.0,CANDIDATE
TESS,1015.01,1.3730466,2.5708515,42.1479417,4897.0,6.7996101,,1301.5065338,1912.3318636,3160.6328329,FALSE_POSITIVE
TESS,1016.01,12.6889415,7.9201001,14.0608342,7601.0,1.53641,,3232.8527885,1158.1310368,425.1594177,FALSE_POSITIVE
TESS,1017.01,1.10422,2.37,21.0448,6995.2,1.61,,14177.7,3926.0,39459.3,FALSE_POSITIVE
TESS,1018.01,4.95912,2.509,22.9123,5889.0,2.0,,7440.0,1419.0,673.55,FALSE_POSITIVE
TESS,1019.01,5.2341008,3.7078139,24.2931408,7645.0,1.56203,,20796.9416293,1574.8381848,1453.6663847,CANDIDATE
TESS,102.01,4.4119378,3.65,15.4706,6280.0,1.21,,15062.0,1408.0,653.252,CONFIRMED
TESS,1021.01,1.90879,1.909,3.34688,6022.6,1.22,,618.482,1561.0,985.807,FALSE_POSITIVE
TESS,1022.01,3.09574,4.475,3.4262,6084.0,1.41,,380.0,3230.0,18087.9,FALSE_POSITIVE
TESS,1023.01,1.3214483,3.435,21.8839,5050.8,2.99,,2180.0,3827.0,35623.2,FALSE_POSITIVE
TESS,1024.01,18.0157,2.524,21.644,4709.0,7.61,,610.0,463.0,7.64364,FALSE_POSITIVE
TESS,1026.01,14.2628757,6.9350494,2.4765813,5690.0,0.853898,,913.2067174,980.3628831,153.2069421,FALSE_POSITIVE
